Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0.24062499,0.31635122,0.24062499,-0.80780801,0.24062499,-0.046897351,0.24062499,-0.59999945
0.24099906,0.31635132,0.24099906,-0.80780792,0.24099906,-0.046857376,0.24099906,-0.59999945
0.24375001,0.31635199,0.24375001,-0.80780724,0.24375001,-0.04656339,0.24375001,-0.59999944
0.24412407,0.31635208,0.24412407,-0.80780715,0.24412407,-0.046523924,0.24412407,-0.59999944
0.246875,0.31635275,0.246875,-0.80780648,0.246875,-0.046233679,0.246875,-0.59999944
0.24724907,0.31635284,0.24724907,-0.80780639,0.24724907,-0.046194708,0.24724907,-0.59999944
0.25,0.31635351,0.25,-0.80780572,0.25,-0.04590811,0.25,-0.59999943
0.25037408,0.3163536,0.25037408,-0.80780563,0.25037408,-0.045869623,0.25037408,-0.59999943
0.25312501,0.31635427,0.25312501,-0.80780496,0.25312501,-0.045586581,0.25312501,-0.59999942
0.25349906,0.31635436,0.25349906,-0.80780487,0.25349906,-0.045548566,0.25349906,-0.59999942
0.25624999,0.31635503,0.25624999,-0.8078042,0.25624999,-0.045268993,0.25624999,-0.59999942
0.25662407,0.31635513,0.25662407,-0.8078041,0.25662407,-0.045231438,0.25662407,-0.59999942
0.25937501,0.3163558,0.25937501,-0.80780343,0.25937501,-0.04495525,0.25937501,-0.59999941
0.25974905,0.31635589,0.25974905,-0.80780334,0.25974905,-0.044918144,0.25974905,-0.59999941
0.26249999,0.31635656,0.26249999,-0.80780267,0.26249999,-0.044645259,0.26249999,-0.5999994
0.26287407,0.31635665,0.26287407,-0.80780258,0.26287407,-0.044608592,0.26287407,-0.5999994
0.265625,0.31635732,0.265625,-0.80780191,0.265625,-0.044338933,0.265625,-0.59999939
0.26599908,0.31635741,0.26599908,-0.80780182,0.26599908,-0.044302694,0.26599908,-0.59999939
0.26875001,0.31635808,0.26875001,-0.80780115,0.26875001,-0.044036185,0.26875001,-0.59999939
0.26912406,0.31635817,0.26912406,-0.80780106,0.26912406,-0.044000364,0.26912406,-0.59999939
0.27187499,0.31635885,0.27187499,-0.80780039,0.27187499,-0.043736933,0.27187499,-0.59999938
0.27224907,0.31635894,0.27224907,-0.80780029,0.27224907,-0.043701521,0.27224907,-0.59999938
0.27500001,0.31635961,0.27500001,-0.80779962,0.27500001,-0.043441096,0.27500001,-0.59999937
0.27537405,0.3163597,0.27537405,-0.80779953,0.27537405,-0.043406084,0.27537405,-0.59999937
0.27812499,0.31636037,0.27812499,-0.80779886,0.27812499,-0.043148598,0.27812499,-0.59999937
0.27849907,0.31636046,0.27849907,-0.80779877,0.27849907,-0.043113977,0.27849907,-0.59999937
0.28125,0.31636113,0.28125,-0.8077981,0.28125,-0.042859364,0.28125,-0.59999936
0.28162408,0.31636122,0.28162408,-0.80779801,0.28162408,-0.042825125,0.28162408,-0.59999936
0.28437501,0.31636189,0.28437501,-0.80779734,0.28437501,-0.042573322,0.28437501,-0.59999935
0.28474906,0.31636198,0.28474906,-0.80779725,0.28474906,-0.042539456,0.28474906,-0.59999935
0.28749999,0.31636265,0.28749999,-0.80779658,0.28749999,-0.042290402,0.28749999,-0.59999934
0.28787407,0.31636275,0.28787407,-0.80779649,0.28787407,-0.042256902,0.28787407,-0.59999934
0.29062501,0.31636342,0.29062501,-0.80779582,0.29062501,-0.042010536,0.29062501,-0.59999934
0.29099905,0.31636351,0.29099905,-0.80779572,0.29099905,-0.041977394,0.29099905,-0.59999934
0.29374999,0.31636418,0.29374999,-0.80779505,0.29374999,-0.04173366,0.29374999,-0.59999933
0.29412407,0.31636427,0.29412407,-0.80779496,0.29412407,-0.041700868,0.29412407,-0.59999933
0.296875,0.31636494,0.296875,-0.80779429,0.296875,-0.041459709,0.296875,-0.59999932
0.29724908,0.31636503,0.29724908,-0.8077942,0.29724908,-0.04142726,0.29724908,-0.59999932
0.30000001,0.3163657,0.30000001,-0.80779353,0.30000001,-0.041188623,0.30000001,-0.59999932
0.30037406,0.31636579,0.30037406,-0.80779344,0.30037406,-0.04115651,0.30037406,-0.59999932
0.30312499,0.31636646,0.30312499,-0.80779277,0.30312499,-0.040920343,0.30312499,-0.59999931
0.30349907,0.31636655,0.30349907,-0.80779268,0.30349907,-0.040888558,0.30349907,-0.59999931
0.30625001,0.31636722,0.30625001,-0.80779201,0.30625001,-0.04065481,0.30625001,-0.5999993
0.30662405,0.31636731,0.30662405,-0.80779192,0.30662405,-0.040623348,0.30662405,-0.5999993
0.30937499,0.31636798,0.30937499,-0.80779125,0.30937499,-0.040391969,0.30937499,-0.5999993
0.30974907,0.31636808,0.30974907,-0.80779115,0.30974907,-0.040360823,0.30974907,-0.59999929
0.3125,0.31636875,0.3125,-0.80779048,0.3125,-0.040131766,0.3125,-0.59999929
0.31287408,0.31636884,0.31287408,-0.80779039,0.31287408,-0.040100929,0.31287408,-0.59999929
0.31562501,0.31636951,0.31562501,-0.80778972,0.31562501,-0.039874148,0.31562501,-0.59999928
0.31599906,0.3163696,0.31599906,-0.80778963,0.31599906,-0.039843615,0.31599906,-0.59999928
0.31874999,0.31637027,0.31874999,-0.80778896,0.31874999,-0.039619065,0.31874999,-0.59999927
0.31912407,0.31637036,0.31912407,-0.80778887,0.31912407,-0.039588829,0.31912407,-0.59999927
0.32187501,0.31637103,0.32187501,-0.8077882,0.32187501,-0.039366466,0.32187501,-0.59999927
0.32224905,0.31637112,0.32224905,-0.80778811,0.32224905,-0.039336522,0.32224905,-0.59999927
